DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AL,2013,118,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AL,2014,131,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AL,2015,140,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AL,2016,152,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AL,2017,147,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AL,2018,161,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AL,2019,176,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AL,2020,191,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AL,2021,210,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2012,542,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2013,546,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2014,547,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2015,546,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2016,550,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2017,555,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2018,562,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2019,566,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2020,570,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,AT,2021,572,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2012,489,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2013,491,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2014,494,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2015,497,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2016,503,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2017,508,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2018,511,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2019,511,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2020,510,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BE,2021,510,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BG,2012,385,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BG,2013,402,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BG,2014,418,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BG,2015,442,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BG,2016,443,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BG,2017,393,
ESTAT:ROAD_EQS_CARHAB$DEFAULTVIEW(1.0),30/01/23 23:00:00,A,NR,BG,2018,396,
