,country,year,passenger_cars_per_1000,passengers_transported,gdp_per_capita,population,total_road_spending,total_inland_transport_investment
9,Austria,2012,542,260518.0,133.0,8408121,844000000.0,2018000000.0
10,Austria,2013,546,271888.0,133.0,8451860,922000000.0,2022000000.0
11,Austria,2014,547,270913.0,132.0,8507786,1120000000.0,2030000000.0
12,Austria,2015,546,280060.0,131.0,8584926,1147000000.0,2006000000.0
13,Austria,2016,550,286990.0,130.0,8700471,1141000000.0,1969000000.0
14,Austria,2017,555,288503.0,127.0,8772865,1202000000.0,2070000000.0
15,Austria,2018,562,307647.0,127.0,8822267,1189000000.0,2148000000.0
16,Austria,2019,566,314892.0,126.0,8858775,1314000000.0,2303500000.0
17,Austria,2020,570,191272.0,125.0,8901064,1339000000.0,2553700000.0
29,Bulgaria,2012,385,26508.0,47.0,7327224,697412823.4,699969322.0
30,Bulgaria,2013,402,26059.0,46.0,7284552,608957971.2,628898660.4
31,Bulgaria,2014,418,24615.0,47.0,7245677,663667041.6,731158605.2
32,Bulgaria,2015,442,22518.0,48.0,7202198,977093772.4,1141476634.0
33,Bulgaria,2016,443,21425.0,49.0,7153784,337969117.5,316494529.1
34,Bulgaria,2017,393,21195.0,50.0,7101859,279169649.2,207229778.1
35,Bulgaria,2018,396,21329.0,52.0,7050034,1139175785.0,978627671.5
36,Bulgaria,2019,407,21329.0,53.0,7000039,740873299.9,652418447.7
37,Bulgaria,2020,414,16808.0,55.0,6951482,1050209633.0,697412823.4
39,Switzerland,2012,529,513860.0,170.0,7954662,6293868746.0,7344229652.0
40,Switzerland,2013,536,540352.0,171.0,8039060,6133723292.0,7397026566.0
41,Switzerland,2014,538,567049.0,171.0,8139631,6067841265.0,7197431253.0
42,Switzerland,2015,541,582889.0,171.0,8237666,6987042111.0,8419226449.0
43,Switzerland,2016,544,602659.0,166.0,8327126,6667700886.0,7804189604.0
44,Switzerland,2017,546,607941.0,160.0,8419550,6638890276.0,7050908988.0
45,Switzerland,2018,546,607567.0,158.0,8484130,6409852774.0,6894743240.0
46,Switzerland,2019,545,635595.0,153.0,8544527,6639193032.0,7735625134.0
79,Denmark,2012,399,201899.0,128.0,5580516,2268196351.0,2239447594.0
80,Denmark,2013,405,206160.0,130.0,5602628,1967041661.0,2043068424.0
81,Denmark,2014,412,208311.0,129.0,5627235,1897409757.0,2260929053.0
82,Denmark,2015,419,212253.0,128.0,5659715,1894189258.0,2394819403.0
83,Denmark,2016,429,211399.0,128.0,5707251,2019233352.0,2284497811.0
84,Denmark,2017,438,206566.0,130.0,5748769,2183177168.0,2293814779.0
85,Denmark,2018,447,205307.0,129.0,5781190,2235415660.0,2435329791.0
89,Estonia,2012,456,4411.0,74.0,1325217,242700000.0,246100000.0
90,Estonia,2013,478,4199.0,76.0,1320174,261730000.0,241030000.0
91,Estonia,2014,497,5905.0,78.0,1315819,193960000.0,163160000.0
92,Estonia,2015,514,6659.0,76.0,1314870,232550000.0,198150000.0
93,Estonia,2016,534,6926.0,77.0,1315944,192200000.0,163100000.0
94,Estonia,2017,550,7433.0,79.0,1315635,239000000.0,210800000.0
95,Estonia,2018,563,7759.0,82.0,1319133,258000000.0,245400000.0
96,Estonia,2019,598,8373.0,82.0,1324820,263000000.0,253000000.0
97,Estonia,2020,608,5984.0,86.0,1328976,287000000.0,276000000.0
129,Finland,2012,560,69331.0,117.0,5401267,1653000000.0,1580000000.0
130,Finland,2013,570,69318.0,115.0,5426674,1659000000.0,1756000000.0
131,Finland,2014,580,68262.0,113.0,5451270,1744000000.0,1883000000.0
132,Finland,2015,590,75952.0,111.0,5471753,1751900000.0,1812000000.0
