DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2010,29,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2011,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2012,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2013,29,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2014,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2015,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2016,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2017,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2018,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2019,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2020,31,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AL,2021,32,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2010,128,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2011,129,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2012,133,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2013,133,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2014,132,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2015,131,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2016,130,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2017,127,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2018,127,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2019,126,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2020,125,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,AT,2021,123,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2010,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2011,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2012,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2013,31,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2014,30,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2015,31,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2016,31,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2017,31,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2018,32,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2019,32,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2020,33,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BA,2021,33,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2010,121,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2011,119,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2012,121,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2013,121,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2014,121,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2015,121,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2016,120,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2017,118,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2018,118,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2019,118,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2020,119,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BE,2021,120,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2010,45,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2011,46,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2012,47,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2013,46,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2014,47,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2015,48,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2016,49,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2017,50,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2018,52,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2019,53,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2020,55,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,BG,2021,57,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2010,165,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2011,167,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2012,170,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2013,171,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2014,171,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2015,171,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2016,166,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2017,160,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2018,158,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2019,153,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2020,154,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CH,2021,155,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2010,102,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2011,97,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2012,91,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2013,84,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2014,81,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2015,83,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2016,88,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2017,90,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2018,91,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2019,93,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2020,90,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CY,2021,91,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2010,84,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2011,84,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2012,84,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2013,86,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2014,88,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2015,89,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2016,89,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2017,91,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2018,92,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2019,93,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2020,93,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,CZ,2021,92,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2010,121,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2011,124,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2012,124,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2013,125,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2014,127,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2015,124,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2016,125,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2017,124,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2018,124,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2019,121,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2020,123,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DE,2021,120,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2010,131,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2011,129,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2012,128,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2013,130,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2014,129,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2015,128,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2016,128,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2017,130,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2018,129,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2019,126,
ESTAT:TEC00114(1.0),06/01/23 11:00:00,A,VI_PPS_EU27_2020_HAB,GDP,DK,2020,133,
